죄종별(1),죄종별(2),일요일,월요일,화요일,수요일,목요일,금요일,토요일
강력범죄,살인기수,39,34,38,32,37,52,38
강력범죄,살인미수등,53,64,56,55,48,59,53
강력범죄,강도,84,53,68,72,66,88,64
강력범죄,강간,878,773,656,654,706,695,901
강력범죄,유사강간,125,139,93,122,106,100,129
강력범죄,강제추행,1862,1994,1844,2025,1988,2071,2178
강력범죄,기타 강간·강제추행등,46,37,41,28,35,27,24
강력범죄,방화,164,173,157,131,141,136,144
폭력범죄,상해,3983,4025,3915,3988,3931,4165,4446
폭력범죄,폭행,17532,15392,15694,15691,15406,16925,19302
폭력범죄,체포·감금,164,183,180,170,176,155,137
폭력범죄,협박,2891,3019,3067,2940,3019,3116,3006
폭력범죄,약취·유인,25,39,25,39,41,33,38
폭력범죄,폭력행위등,1020,907,847,839,857,901,1113
폭력범죄,공갈,552,877,844,789,780,722,567
폭력범죄,손괴,7633,7561,7389,7367,7529,8104,8605
지능범죄,직무유기,29,200,178,166,180,165,39
지능범죄,직권남용,49,162,152,142,174,156,40
지능범죄,증수뢰,22,56,62,62,67,99,34
지능범죄,통화,17,76,72,61,69,68,13
지능범죄,문서·인장,416,2026,1959,1843,1853,1790,585
지능범죄,유가증권인지,2,18,11,8,10,8,6
지능범죄,사기,19660,52445,51793,49687,50177,47878,22435
지능범죄,횡령,5692,7572,7367,7395,7486,8019,6890
지능범죄,배임,182,696,619,561,560,615,233
풍속범죄,성풍속범죄,2274,2640,2457,2496,2495,2473,2134
풍속범죄,도박범죄,640,907,744,947,1140,1269,744
