죄종별(1),죄종별(2),자영업,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,학생,주부,전경.의경,공익요원,기타
강력범죄,살인기수,32,4,0,0,6,0,0,2,0,2,0,1,0,0,0,0,17,0,0,2,0,1,4,2,0,0,35,0,0,4,13,14,6,2,0,3,0,0,12,10,4,0,1,8
강력범죄,살인미수등,48,7,0,2,3,1,1,1,0,2,0,1,0,0,3,0,27,0,2,4,1,1,14,3,0,0,40,0,1,1,17,34,2,0,0,2,0,0,6,8,4,0,0,11
강력범죄,강도,57,3,0,2,1,2,3,0,0,3,0,1,0,0,1,0,41,0,1,1,1,0,3,2,0,0,35,0,0,4,32,44,0,0,1,0,0,0,6,144,1,0,1,20
강력범죄,강간,801,86,0,11,59,7,3,24,17,11,1,26,2,7,4,0,543,14,7,52,8,18,82,4,10,2,909,6,15,41,131,435,19,2,7,24,0,22,153,678,2,0,20,262
강력범죄,유사강간,94,8,0,0,4,1,0,4,4,4,1,3,0,3,1,0,61,2,2,3,1,0,5,2,1,0,133,0,2,8,19,57,5,1,3,4,0,7,29,160,0,0,4,41
강력범죄,강제추행,2121,162,0,44,153,25,9,97,24,20,5,44,11,17,13,0,1497,43,23,121,32,28,263,100,25,7,2301,22,9,117,345,843,124,11,15,44,6,37,498,1182,23,5,17,656
강력범죄,기타 강간·강제추행등,35,7,0,2,2,1,0,3,0,0,1,0,0,0,0,0,19,2,0,3,0,0,8,3,0,0,24,0,0,0,9,25,0,0,0,1,0,2,10,43,2,0,0,13
강력범죄,방화,127,26,0,4,11,1,0,8,0,2,0,2,0,1,3,0,69,0,1,9,0,2,18,2,2,0,63,1,0,7,36,44,0,0,0,5,0,1,7,79,12,0,0,26
폭력범죄,상해,7465,1193,3,113,727,78,25,301,66,113,11,171,11,37,78,2,4536,28,64,404,41,105,1181,197,71,10,5050,18,68,211,1660,2518,76,5,7,96,9,74,682,2050,504,3,48,1488
폭력범죄,폭행,28253,2414,10,402,2811,271,95,1021,281,267,45,708,42,172,268,7,19439,97,313,1308,219,248,5191,923,298,42,21393,77,141,737,4971,9896,256,30,59,329,75,300,3096,7237,3257,4,146,6091
