죄종별(1),죄종별(2),자영업,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,학생,주부,전경.의경,공익요원,무직자,미상,기타
강력범죄,살인기수,17,1,0,0,5,0,0,2,0,2,0,0,0,0,0,0,7,0,0,2,0,1,4,1,0,0,12,0,0,3,6,7,0,1,0,2,0,0,0,1,4,1,0,0,64,8,15
강력범죄,살인미수등,34,4,0,1,3,1,0,1,0,2,0,0,0,0,3,0,19,0,0,2,0,0,11,0,0,0,17,0,0,1,13,26,0,0,0,1,0,0,4,0,1,1,0,0,118,15,12
강력범죄,강도,29,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,23,0,0,0,1,0,3,1,0,0,12,0,0,2,26,34,0,0,0,0,0,0,3,0,63,0,0,0,251,35,81
강력범죄,강간,376,34,0,5,29,2,2,10,10,6,1,11,1,3,2,0,260,3,3,24,4,5,48,2,3,1,335,0,4,22,61,209,4,0,2,9,0,9,41,9,122,0,0,5,528,263,327
강력범죄,유사강간,49,6,0,0,2,0,0,2,3,2,0,2,0,0,1,0,31,1,0,1,0,0,4,1,0,0,48,0,0,4,13,23,3,0,0,2,0,2,10,1,23,0,0,3,71,29,60
강력범죄,강제추행,1250,99,0,30,107,14,6,60,12,10,3,21,4,9,6,0,869,12,8,71,12,17,179,48,10,1,1005,10,3,47,230,472,32,1,5,22,4,14,182,47,152,4,0,1,1657,845,857
강력범죄,기타 강간·강제추행등,23,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,15,1,0,3,0,0,6,2,0,0,11,0,0,0,6,20,0,0,0,0,0,1,6,1,17,0,0,0,51,14,33
강력범죄,방화,93,18,0,4,9,1,0,6,0,0,0,2,0,0,2,0,51,0,0,6,0,1,16,2,2,0,38,0,0,5,32,37,0,0,0,4,0,1,3,1,18,5,0,0,302,48,65
폭력범죄,상해,5643,863,2,79,605,58,19,224,54,84,9,118,3,30,55,2,3438,8,31,307,24,52,955,125,50,5,3059,7,44,132,1330,1759,31,1,3,65,6,38,345,66,534,214,0,21,5718,1926,2857
폭력범죄,폭행,14440,1296,5,200,1613,146,49,495,137,125,20,330,16,86,138,6,9778,29,77,721,76,78,2909,397,124,16,8312,25,60,297,2733,4689,81,6,21,151,33,108,961,161,1246,842,2,38,15092,7488,7698
폭력범죄,체포·감금,148,14,0,2,9,3,1,3,0,6,2,6,0,0,0,0,102,0,0,9,1,2,26,2,1,0,88,0,0,2,23,55,0,0,0,2,1,1,10,0,24,4,0,0,174,72,78
폭력범죄,협박,2580,298,0,48,244,17,7,90,16,7,6,66,4,15,14,2,1746,6,21,123,11,21,579,54,16,5,1409,6,4,49,526,804,15,3,3,27,8,26,155,37,151,85,0,3,3110,1161,1251
폭력범죄,약취·유인,26,3,0,0,1,0,0,1,0,3,0,1,0,0,0,0,17,0,0,0,0,1,4,1,2,0,10,0,0,0,4,10,0,0,0,0,0,0,3,0,3,2,0,0,54,16,19
폭력범죄,폭력행위등,1776,134,2,23,225,14,5,71,8,55,5,29,2,9,11,0,1183,4,9,78,8,22,167,27,20,4,1107,4,16,39,375,628,3,3,1,26,7,8,119,4,1216,73,0,18,2295,798,2219
폭력범죄,공갈,172,15,0,2,17,1,0,8,2,6,4,5,0,0,0,0,112,0,3,4,1,2,11,0,1,0,65,0,0,4,15,53,0,0,0,4,8,6,16,6,249,2,1,1,397,176,351
폭력범죄,손괴,4627,606,3,73,669,42,16,133,26,36,5,113,7,27,24,1,2846,6,22,265,16,37,631,100,33,6,2673,10,15,107,996,1570,24,1,4,61,11,38,272,50,363,162,0,7,5350,2646,2314
지능범죄,직무유기,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0
지능범죄,직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,0,0,0,0,4,0,0
지능범죄,증수뢰,98,13,0,1,19,1,4,1,0,0,0,5,0,0,0,0,54,0,2,0,0,0,0,1,0,1,26,0,0,0,0,5,0,0,1,0,5,0,4,35,0,1,0,0,28,4,35
지능범죄,통화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,4,3
지능범죄,문서·인장,887,96,0,23,141,13,3,8,12,2,6,61,0,2,2,0,518,0,11,17,11,3,35,10,14,0,286,3,0,13,66,228,12,3,2,13,3,1,61,27,180,29,0,2,704,563,657
