魄概ID,林巩老磊,淬寸磊,瘤开,措府痢,力前内靛,窜啊,荐樊,且牢啦,陛咀
1,2021-01-01,辫蛮柳,堡林,21,31,"43,188",54,0,"2,332,152"
2,2021-01-01,碍悼盔,堡林,43,18,"34,788",2,0.1,"62,618"
3,2021-01-02,辫家固,堡林,1,45,"39,588",107,0,"4,235,916"
4,2021-01-02,碍悼盔,堡林,44,20,"43,188",94,0.1,"3,653,705"
5,2021-01-03,辫傣绕,堡林,28,28,"306,000",107,0.1,"29,467,800"
6,2021-01-03,坷康荐,堡林,31,58,"160,800",73,0,"11,738,400"
7,2021-01-04,巩技辣,堡林,23,17,"34,788",30,0.1,"939,276"
8,2021-01-04,救沥绕,堡林,17,51,"359,076",40,0.1,"12,926,736"
9,2021-01-05,救沥绕,堡林,6,30,"43,188",102,0.1,"3,964,658"
10,2021-01-05,辫傣绕,堡林,28,7,"278,400",31,0.1,"7,767,360"
11,2021-01-08,坷康荐,堡林,30,36,"71,988",117,0.1,"7,580,336"
12,2021-01-08,冠泅荐,堡林,51,69,"27,480",66,0,"1,813,680"
13,2021-01-09,辫傣绕,堡林,28,63,"14,280",22,0,"314,160"
14,2021-01-09,巩技辣,堡林,25,23,"20,388",23,0.1,"422,032"
15,2021-01-10,救沥绕,堡林,17,49,"15,588",27,0.1,"378,788"
16,2021-01-10,急窍扼,堡林,13,64,"14,280",91,0.2,"1,039,584"
17,2021-01-11,救沥绕,堡林,5,33,"71,988",74,0.1,"4,794,401"
18,2021-01-11,冠柳酋,堡林,11,60,"131,940",75,0.1,"8,905,950"
19,2021-01-12,救沥绕,堡林,16,52,"359,076",81,0,"29,085,156"
20,2021-01-12,碍悼盔,堡林,43,68,"21,480",59,0.1,"1,140,588"
21,2021-01-15,辣措泅,堡林,9,25,"306,000",104,0.1,"28,641,600"
22,2021-01-15,辣措泅,堡林,33,75,"23,880",55,0.1,"1,182,060"
23,2021-01-16,辫蛮柳,堡林,22,54,"359,076",48,0.1,"15,512,083"
24,2021-01-17,辑悼刮,堡林,40,64,"14,280",3,0,"42,840"
25,2021-01-17,辫傣绕,堡林,27,54,"359,076",66,0.1,"21,329,114"
26,2021-01-18,辣措泅,堡林,9,12,"25,884",68,0.1,"1,584,101"
27,2021-01-18,坷康荐,堡林,30,68,"21,480",11,0.1,"212,652"
28,2021-01-19,辫蛮柳,堡林,19,67,"21,480",84,0.1,"1,623,888"
29,2021-01-22,辫傣绕,堡林,29,23,"20,388",76,0,"1,549,488"
30,2021-01-22,救沥绕,堡林,5,13,"25,884",60,0,"1,553,040"
31,2021-01-23,巩技辣,堡林,25,18,"34,788",62,0,"2,156,856"
32,2021-01-23,碍悼盔,堡林,45,1,"239,880",60,0,"14,392,800"
33,2021-01-24,冠泅荐,堡林,50,30,"43,188",34,0,"1,468,392"
34,2021-01-24,辫傣绕,堡林,26,68,"21,480",57,0,"1,224,360"
35,2021-01-25,冠柳酋,堡林,4,9,"278,400",63,0,"17,539,200"
36,2021-01-25,辫傣绕,堡林,27,39,"93,216",115,0.1,"9,647,856"
37,2021-01-26,救沥绕,堡林,17,64,"14,280",53,0,"756,840"
38,2021-01-26,冠柳酋,堡林,52,45,"39,588",69,0.1,"2,458,415"
39,2021-01-29,辣措泅,堡林,36,66,"21,480",10,0,"214,800"
40,2021-01-29,碍悼盔,堡林,45,77,"23,880",44,0,"1,050,720"
41,2021-01-30,巩技辣,堡林,23,27,"306,000",45,0,"13,770,000"
42,2021-01-30,巩技辣,堡林,23,53,"359,076",52,0.1,"16,804,757"
43,2021-01-31,冠柳酋,堡林,4,51,"359,076",17,0.1,"5,493,863"
44,2021-01-31,巩技辣,堡林,23,51,"359,076",99,0.1,"31,993,672"
45,2021-02-01,捞铰泅,堡林,49,20,"43,188",81,0.1,"3,148,405"
46,2021-02-01,辫蛮柳,堡林,21,47,"26,400",95,0.1,"2,257,200"
47,2021-02-02,捞铰泅,堡林,49,4,"239,880",86,0,"20,629,680"
48,2021-02-02,冠泅荐,堡林,51,8,"278,400",9,0.1,"2,255,040"
49,2021-02-05,辣措泅,堡林,15,2,"239,880",10,0.1,"2,158,920"
50,2021-02-05,辣措泅,堡林,8,60,"131,940",15,0,"1,979,100"
51,2021-02-06,碍悼盔,堡林,43,39,"93,216",109,0,"10,160,544"
52,2021-02-06,辣措泅,堡林,9,12,"25,884",57,0.1,"1,327,849"
53,2021-02-07,救沥绕,堡林,6,23,"20,388",60,0,"1,223,280"
54,2021-02-07,碍悼盔,堡林,44,44,"39,588",105,0,"4,156,740"
55,2021-02-08,救沥绕,堡林,16,10,"278,400",31,0.1,"7,767,360"
56,2021-02-08,巩技辣,堡林,24,32,"43,188",51,0,"2,202,588"
57,2021-02-09,救沥绕,堡林,17,7,"278,400",63,0,"17,539,200"
58,2021-02-09,碍悼盔,堡林,43,29,"306,000",93,0.1,"25,612,200"
59,2021-02-12,坷康荐,堡林,30,49,"15,588",41,0,"639,108"
60,2021-02-12,辫蛮柳,堡林,20,45,"39,588",19,0,"752,172"
61,2021-02-13,坷康荐,堡林,32,38,"93,216",79,0,"7,364,064"
