연도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1965,5125,160,79,0,0,0,0,0,0,570,501,323,510,471,766,868,783,94
1966,5274,177,86,0,0,0,0,0,0,579,538,334,531,481,779,886,787,96
1967,5418,185,93,0,0,0,0,0,0,600,554,341,555,500,794,899,799,98
1968,5601,201,96,0,0,0,0,0,0,617,570,355,571,523,833,922,811,102
1969,5810,210,98,0,0,0,0,0,0,647,603,364,598,539,877,946,822,106
1970,5961,206,99,0,0,0,0,0,0,663,607,372,615,553,931,971,836,108
1971,6085,208,100,0,0,0,0,0,0,681,617,379,622,576,951,990,852,109
1972,6197,222,103,0,0,0,0,0,0,696,626,386,633,586,969,1005,862,109
1973,6269,232,106,0,0,0,0,0,0,704,634,389,647,589,976,1015,867,110
1974,6315,241,107,0,0,0,0,0,0,708,633,391,647,595,985,1027,870,111
1975,6367,252,112,0,0,0,0,0,0,712,635,393,653,595,990,1034,879,112
1976,6405,259,114,0,0,0,0,0,0,714,635,393,654,597,999,1037,891,112
1977,6408,263,114,0,0,0,0,0,0,715,627,394,654,599,998,1036,896,112
1978,6426,271,128,0,0,0,0,0,0,719,621,394,655,601,1002,1033,889,113
1979,6450,278,131,0,0,0,0,0,0,724,620,395,657,602,1006,1034,889,114
1980,6487,291,137,0,0,0,0,0,0,731,618,397,659,603,1008,1034,895,114
1981,6517,300,149,0,0,0,0,0,0,736,610,397,661,605,1012,1034,898,115
1982,6501,318,158,86,55,0,0,0,0,677,597,396,663,601,1005,947,883,115
1983,6500,351,169,98,62,0,0,0,0,675,572,384,665,597,996,940,879,112
1984,6528,384,184,107,69,0,0,0,0,680,551,375,665,602,987,938,874,112
1985,6519,405,193,111,72,0,0,0,0,685,534,368,661,604,982,926,865,113
1986,6535,423,196,114,77,0,0,0,0,690,532,364,661,604,972,923,866,113
1987,6531,431,200,114,82,52,0,0,0,698,526,361,662,591,915,922,864,113
1988,6463,441,202,115,85,79,0,0,0,695,518,357,659,572,869,915,842,114
1989,6396,453,217,117,100,80,79,0,0,679,506,351,570,559,846,906,818,115
1990,6335,463,221,118,103,83,79,0,0,684,499,337,565,555,821,890,802,115
1991,6245,474,222,121,106,86,80,0,0,688,491,326,555,539,797,862,783,115
1992,6122,481,227,125,109,86,81,0,0,704,479,315,532,517,766,831,754,115
1993,6057,492,230,133,113,88,88,0,0,732,474,304,511,507,743,794,735,113
1994,5900,503,228,137,117,89,91,0,0,745,449,295,496,492,696,747,702,113
1995,5772,512,245,161,163,89,96,0,0,733,431,283,480,482,657,669,662,109
1996,5732,519,250,164,164,93,99,0,0,756,428,279,476,479,626,642,651,106
1997,5721,523,257,167,166,97,102,0,0,777,427,274,476,473,599,634,643,106
1998,5688,527,259,172,171,103,103,81,0,801,422,272,473,462,576,608,552,106
1999,5544,529,265,178,170,104,106,83,0,808,399,257,457,442,559,565,516,106
2000,5267,532,267,178,174,109,110,85,0,835,367,247,432,422,462,492,449,106
2001,5322,536,269,184,180,115,113,86,0,864,365,246,433,419,457,495,455,105
2002,5384,542,273,186,185,117,115,92,0,901,365,243,431,421,456,493,460,104
2003,5463,550,279,193,190,121,117,94,0,936,366,245,431,416,460,493,468,104
2004,5541,554,283,198,197,123,120,100,0,967,366,248,436,415,457,497,476,104
2005,5646,563,285,201,206,128,124,105,0,1011,366,252,442,420,455,502,482,104
2006,5733,568,292,204,210,134,129,108,0,1050,365,253,440,423,456,503,493,105
2007,5756,572,293,205,216,136,136,114,0,1068,363,254,429,420,453,500,491,106
2008,5813,578,293,211,224,139,137,116,0,1094,361,256,430,420,453,497,498,106
2009,5829,586,297,215,224,145,138,116,0,1114,353,258,432,417,437,496,495,106
2010,5854,587,298,214,226,145,138,118,0,1145,353,259,430,413,433,494,495,106
2011,5882,591,297,216,232,147,141,119,0,1159,353,260,430,414,429,491,495,108
2012,5895,594,299,217,236,148,143,119,0,1176,352,259,427,413,427,484,491,110
2013,5913,597,302,219,240,149,143,118,22,1187,351,259,406,414,426,477,493,110
2014,5934,599,305,220,242,150,143,119,26,1195,351,259,405,414,424,478,493,111
2015,5978,599,306,221,243,153,146,119,35,1213,351,260,405,415,426,476,498,112
2016,6001,601,308,225,247,153,146,117,37,1227,351,260,405,416,427,469,500,112
2017,6040,603,308,228,249,154,147,118,43,1241,351,259,407,419,430,468,503,112
2018,6064,603,305,229,249,154,148,117,47,1261,351,258,409,419,429,470,502,113
2019,6087,607,304,229,250,155,148,119,48,1277,349,259,409,419,429,471,501,113
2020,6120,607,304,230,253,155,148,120,49,1298,347,258,410,421,429,473,505,113
2021,6157,607,304,232,258,155,148,121,51,1317,348,259,412,420,430,473,509,113
2022,6163,609,304,233,260,155,149,121,52,1320,349,256,411,421,426,473,510,114
