연도,계,국립,공립,사립
1965,5125,13,5037,75
1966,5274,14,5166,94
1967,5418,14,5308,96
1968,5601,14,5495,92
1969,5810,14,5705,91
1970,5961,14,5859,88
1971,6085,14,5983,88
1972,6197,15,6097,85
1973,6269,15,6169,85
1974,6315,16,6216,83
1975,6367,16,6268,83
1976,6405,16,6309,80
1977,6408,16,6312,80
1978,6426,16,6331,79
1979,6450,16,6356,78
1980,6487,15,6390,82
1981,6517,16,6424,77
1982,6501,16,6409,76
1983,6500,16,6408,76
1984,6528,16,6437,75
1985,6519,16,6428,75
1986,6535,16,6444,75
1987,6531,16,6438,77
1988,6463,17,6370,76
1989,6396,17,6302,77
1990,6335,17,6242,76
1991,6245,17,6152,76
1992,6122,17,6029,76
1993,6057,17,5964,76
1994,5900,17,5808,75
1995,5772,17,5679,76
1996,5732,17,5639,76
1997,5721,17,5628,76
1998,5688,17,5595,76
1999,5544,17,5451,76
2000,5267,17,5174,76
2001,5322,17,5229,76
2002,5384,17,5291,76
2003,5463,17,5370,76
2004,5541,17,5449,75
2005,5646,17,5554,75
2006,5733,17,5641,75
2007,5756,17,5664,75
2008,5813,17,5721,75
2009,5829,17,5737,75
2010,5854,17,5761,76
2011,5882,17,5789,76
2012,5895,17,5802,76
2013,5913,17,5820,76
2014,5934,17,5841,76
2015,5978,17,5886,75
2016,6001,17,5909,75
2017,6040,17,5949,74
2018,6064,17,5973,74
2019,6087,17,5996,74
2020,6120,17,6029,74
2021,6157,17,6067,73
2022,6163,17,6073,73
