연도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1965,4941345,564779,238335,0,0,0,0,0,0,511992,320498,272271,512856,434499,690442,772964,574636,48073
1966,5165490,590958,250139,0,0,0,0,0,0,537121,342975,286809,532822,466651,727869,800600,575934,53612
1967,5382500,626808,258463,0,0,0,0,0,0,562982,356502,300386,558196,479384,764231,823036,596401,56111
1968,5548577,679541,266083,0,0,0,0,0,0,584515,381942,307771,564372,487621,780163,836086,601566,58917
1969,5622816,729230,277092,0,0,0,0,0,0,595818,365351,309747,567487,480214,795212,843624,597947,61094
1970,5749301,770167,287059,0,0,0,0,0,0,605549,370844,310348,573393,494405,820675,852796,599864,64201
1971,5807448,809645,294643,0,0,0,0,0,0,618172,368448,309526,573296,499622,825789,847649,594307,66351
1972,5775880,832332,295948,0,0,0,0,0,0,617976,361559,305131,567354,491141,822834,834095,579819,67691
1973,5692285,844414,297705,0,0,0,0,0,0,606679,355792,298716,553342,476496,805938,817965,566255,68983
1974,5618768,870494,307417,0,0,0,0,0,0,590942,345778,289596,534289,466607,787957,801860,553449,70379
1975,5599074,908474,324476,0,0,0,0,0,0,593407,338128,281703,516747,458598,767573,792963,544825,72180
1976,5503737,932953,339809,0,0,0,0,0,0,589925,325847,262548,494734,440587,744420,771647,528373,72894
1977,5514417,978968,366501,0,0,0,0,0,0,591717,317328,252331,476208,431361,741718,759798,524746,73741
1978,5604365,1056347,403766,0,0,0,0,0,0,608997,313737,242190,470147,423861,733114,758135,518814,75257
1979,5640712,1126383,429950,0,0,0,0,0,0,631080,303420,229840,460314,410738,715623,744083,513486,75795
1980,5658002,1168724,446162,0,0,0,0,0,0,658198,292446,222453,458937,388516,701320,734789,510296,76161
1981,5586494,1181324,451391,0,0,0,0,0,0,663173,285658,213416,450506,385629,671816,712259,496089,75233
1982,5465248,1183735,449368,235917,149156,0,0,0,0,519431,274419,203131,441250,363544,638498,452832,481015,72952
1983,5257164,1166202,438859,234541,149349,0,0,0,0,517394,257721,192356,422562,342385,583014,425269,458102,69410
1984,5040958,1125301,428388,231165,151437,0,0,0,0,519671,242180,181573,402520,322289,530996,397561,442424,65453
1985,4856752,1090330,419589,227318,155498,0,0,0,0,521713,228238,173048,383679,301214,493432,373028,428224,61441
1986,4798323,1086283,423865,231024,163481,0,0,0,0,543794,217944,167374,370056,284280,470641,357170,422776,59635
1987,4771722,1088466,432596,235571,171635,109285,0,0,0,573117,209774,162198,358111,268945,340624,343075,420733,57592
