연도,계,국립,공립,사립
1965,4941345,20551,4895976,24818
1966,5165490,12381,5115135,37974
1967,5382500,12819,5320418,49263
1968,5548577,13008,5478167,57402
1969,5622816,12951,5548972,60893
1970,5749301,12872,5671201,65228
1971,5807448,12965,5726823,67660
1972,5775880,13416,5694813,67651
1973,5692285,13749,5609951,68585
1974,5618768,14042,5535714,69012
1975,5599074,14424,5514890,69760
1976,5503737,14544,5419880,69313
1977,5514417,14713,5430791,68913
1978,5604365,14997,5519855,69513
1979,5640712,15445,5554789,70478
1980,5658002,16225,5569402,72375
1981,5586494,16144,5497280,73070
1982,5465248,16430,5375433,73385
1983,5257164,16627,5167597,72940
1984,5040958,16787,4951599,72572
1985,4856752,16463,4768336,71953
1986,4798323,16092,4713392,68839
1987,4771722,15698,4686467,69557
1988,4819857,15764,4734878,69215
1989,4894261,15450,4809958,68853
1990,4868520,15840,4783205,69475
1991,4758505,15464,4673394,69647
1992,4560128,15174,4475696,69258
1993,4336252,14948,4253912,67392
1994,4099395,14723,4020464,64208
1995,3905163,14316,3828284,62563
1996,3800540,13800,3725840,60900
1997,3783986,13326,3712453,58207
1998,3834561,12807,3767191,54563
1999,3935537,12197,3870781,52559
2000,4019991,11720,3955856,52415
2001,4089429,11367,4026320,51742
2002,4138366,11070,4076286,51010
2003,4175626,10957,4114351,50318
2004,4116195,10875,4056433,48887
2005,4022801,10761,3964657,47383
2006,3925043,10862,3868011,46170
2007,3829998,10746,3774159,45093
2008,3672207,10719,3616384,45104
2009,3474395,10667,3419336,44392
2010,3299094,10558,3244936,43600
2011,3132477,10364,3079244,42869
2012,2951995,10066,2899933,41996
2013,2784000,9798,2733287,40915
2014,2728509,9580,2678752,40177
2015,2714610,9347,2665762,39501
2016,2672843,9170,2624452,39221
2017,2674227,8978,2626405,38844
2018,2711385,8862,2664402,38121
2019,2747219,8783,2700467,37969
2020,2693716,8697,2647300,37719
2021,2672340,8557,2625459,38324
2022,2664278,8369,2616671,39238
