연도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1965,79164,7133,3174,0,0,0,0,0,0,8123,5678,4893,8509,7451,11377,12474,9424,928
1966,84927,7798,3452,0,0,0,0,0,0,8791,6195,5134,8929,8031,12208,13457,9936,996
1967,89277,8374,3649,0,0,0,0,0,0,9241,6510,5386,9248,8383,13116,13972,10347,1051
1968,92530,8871,3818,0,0,0,0,0,0,9640,6778,5596,9546,8604,13407,14388,10771,1111
1969,96358,9609,4086,0,0,0,0,0,0,10109,6847,5775,9922,8990,13576,15053,11197,1194
1970,101095,10552,4120,0,0,0,0,0,0,10432,7100,6043,10328,9434,14877,15430,11533,1246
1971,103756,11050,4243,0,0,0,0,0,0,10680,7282,6116,10527,9767,15144,15841,11805,1301
1972,105672,11514,4314,0,0,0,0,0,0,11077,7358,6221,10684,9967,15472,15843,11888,1334
1973,107259,11959,4439,0,0,0,0,0,0,11318,7456,6234,10837,10034,15708,15956,11960,1358
1974,107436,12123,4480,0,0,0,0,0,0,11312,7434,6257,10784,10023,15727,16021,11896,1379
1975,108126,12373,4574,0,0,0,0,0,0,11423,7510,6255,10756,10002,15786,16055,12005,1387
1976,109530,13030,4824,0,0,0,0,0,0,11576,7538,6263,10743,10000,15907,16184,12072,1393
1977,112997,14024,5410,0,0,0,0,0,0,12238,7617,6303,10825,10147,16113,16562,12273,1485
1978,115245,15372,6046,0,0,0,0,0,0,12495,7652,6316,10836,10156,16105,16574,12167,1526
1979,117290,16676,6573,0,0,0,0,0,0,12792,7679,6328,10821,10163,16109,16529,12088,1532
1980,119064,17903,7420,0,0,0,0,0,0,13192,7514,6237,10821,9825,16140,16669,11775,1568
1981,122727,19242,7847,0,0,0,0,0,0,13835,7642,6289,10894,10169,16206,16807,12148,1648
1982,124572,20477,8177,4321,2671,0,0,0,0,11803,7554,6038,10786,9988,16421,12541,12114,1681
1983,126163,21476,8498,4514,2803,0,0,0,0,12217,7513,5813,10831,9804,16375,12491,12076,1752
1984,126233,21688,8539,4590,2951,0,0,0,0,12561,7479,5615,10860,9540,16152,12226,12243,1789
1985,126785,21629,8593,4586,3109,0,0,0,0,12995,7759,5440,10824,9286,15703,12345,12738,1778
1986,126677,21765,8632,4640,3150,0,0,0,0,13063,7764,5433,10848,9191,15390,12276,12767,1758
1987,130142,22936,8999,4925,3588,2529,0,0,0,14034,7815,5474,11007,9031,12860,12261,12930,1753
1988,132527,23978,9591,5219,3875,2958,0,0,0,15019,7699,5431,10811,8844,12192,12216,12948,1746
1989,134898,24626,10130,5468,4284,3032,2753,0,0,15910,7628,5442,8088,8720,11834,12191,13043,1749
1990,136800,25382,10426,5692,4524,3217,2937,0,0,16722,7371,5353,7939,8404,11649,12027,13370,1787
1991,138200,25784,10632,5865,4775,3355,3060,0,0,18184,7022,5306,7691,8220,11204,11709,13595,1798
1992,138880,26118,10673,6054,5244,3462,3184,0,0,19251,6722,5213,7390,7954,10665,11558,13572,1820
1993,139159,26116,10637,6181,5574,3548,3352,0,0,20106,6609,5205,7231,7776,10251,11221,13552,1800
1994,139096,26113,10313,6167,5924,3607,3429,0,0,20746,6422,5283,7248,7610,9836,10933,13642,1823
1995,138369,25710,10377,6458,6525,3611,3537,0,0,21211,6193,5158,7090,7349,9533,10412,13427,1778
1996,137912,25287,10167,6478,6576,3540,3603,0,0,22245,6063,5123,7022,7306,9098,10186,13422,1796
1997,138670,25306,10064,6578,6678,3570,3672,0,0,23142,6118,5095,7055,7227,8811,10132,13418,1804
1998,140121,25454,10070,6602,6834,3625,3775,3144,0,24131,6001,5166,7078,7218,8733,10074,10408,1808
1999,137577,24299,9785,6264,6886,3664,3672,3226,0,25291,5696,4914,6971,6780,8386,9744,10198,1801
2000,140000,25265,9779,6530,7159,3830,3900,3337,0,26515,5702,4894,6890,6852,8095,9514,9888,1850
2001,142715,25547,10119,6784,7286,3924,4253,3367,0,27152,5712,4960,6904,7024,8090,9561,10137,1895
2002,147497,25939,10394,6991,7625,4073,4345,3525,0,29472,5644,5048,7001,7130,8129,9641,10549,1991
2003,154075,26417,10914,7538,8317,4644,4656,3710,0,30973,5765,5258,7592,7260,8188,9745,11050,2048
2004,157407,26586,10953,7777,8574,4784,4763,3774,0,32411,5810,5396,7689,7364,8172,9803,11417,2134
2005,160143,26758,11015,7850,8741,4765,4835,3895,0,33908,5819,5508,7830,7446,8196,9852,11539,2186
2006,163645,27219,10999,8194,8935,5103,5095,4013,0,34829,5958,5507,7899,7600,8214,9859,11980,2241
2007,167182,27646,11049,8321,9164,5232,5144,4145,0,36298,6154,5664,7961,7718,8389,9989,12001,2307
2008,172190,28391,11089,8476,9516,5306,5432,4196,0,37693,6401,5864,8270,7866,8627,10210,12488,2365
2009,175068,29004,11126,8666,9626,5442,5545,4185,0,38954,6492,5943,8416,7839,8580,10263,12607,2380
2010,176754,29335,10960,8709,9519,5579,5552,4194,0,40449,6528,5920,8471,7922,8284,10352,12610,2370
2011,180623,29639,10821,8844,9649,5851,5742,4342,0,41619,6629,6296,8774,8053,8269,10482,13167,2446
2012,181435,29762,10709,8860,9633,6001,5889,4316,0,42104,6683,6384,8877,8040,8179,10190,13286,2522
2013,181585,29751,10558,9004,9748,5960,5968,4362,524,41962,6754,6360,8573,8065,8130,10015,13287,2564
2014,182672,29613,10540,8971,9890,6001,5976,4346,663,42753,6702,6482,8717,7989,8046,10036,13327,2620
2015,182658,29627,10414,8869,9874,6013,6006,4260,1034,42569,6699,6550,8682,8017,8026,10059,13301,2658
2016,183452,29448,10250,8873,9967,6027,6005,4235,1279,43308,6558,6586,8829,8002,7968,10016,13425,2676
2017,184358,29191,10173,8900,9983,6025,6010,4240,1536,44080,6541,6590,8914,8024,7965,10021,13501,2664
2018,186684,28992,10170,9039,10037,6084,6030,4229,1793,45201,6558,6646,9203,8126,8028,10168,13623,2757
2019,188582,28727,10152,9013,10026,6068,6007,4322,1956,46568,6648,6675,9250,8179,8121,10257,13773,2840
2020,189286,28608,10148,8905,10071,6046,6035,4301,2142,46820,6638,6727,9264,8256,8290,10324,13842,2869
2021,191224,28219,10171,8970,10081,6022,6034,4380,2268,48013,6725,6793,9373,8335,8462,10586,13905,2887
2022,195037,28335,10537,8930,10399,6029,6037,4537,2425,49357,6767,6836,9675,8384,8730,10872,14145,3042
