연도,계,국립,공립,사립
1965,79164,259,78303,602
1966,84927,285,83765,877
1967,89277,294,87883,1100
1968,92530,294,90957,1279
1969,96358,297,94735,1326
1970,101095,295,99388,1412
1971,103756,296,102005,1455
1972,105672,306,103909,1457
1973,107259,313,105475,1471
1974,107436,317,105657,1462
1975,108126,322,106358,1446
1976,109530,322,107789,1419
1977,112997,323,111263,1411
1978,115245,331,113518,1396
1979,117290,335,115558,1397
1980,119064,345,117299,1420
1981,122727,349,120927,1451
1982,124572,352,122745,1475
1983,126163,362,124329,1472
1984,126233,368,124394,1471
1985,126785,368,124948,1469
1986,126677,369,124845,1463
1987,130142,372,128200,1570
1988,132527,388,130546,1593
1989,134898,394,132892,1612
1990,136800,411,134746,1643
1991,138200,412,136113,1675
1992,138880,413,136743,1724
1993,139159,417,137003,1739
1994,139096,418,136960,1718
1995,138369,423,136201,1745
1996,137912,444,135722,1746
1997,138670,447,136481,1742
1998,140121,457,137940,1724
1999,137577,457,135431,1689
2000,140000,461,137848,1691
2001,142715,460,140559,1696
2002,147497,462,145309,1726
2003,154075,467,151864,1744
2004,157407,467,155215,1725
2005,160143,469,157937,1737
2006,163645,479,161425,1741
2007,167182,500,164916,1766
2008,172190,518,169858,1814
2009,175068,526,172705,1837
2010,176754,517,174384,1853
2011,180623,517,178241,1865
2012,181435,514,179079,1842
2013,181585,512,179312,1761
2014,182672,514,180366,1792
2015,182658,515,180376,1767
2016,183452,513,181164,1775
2017,184358,517,182046,1795
2018,186684,519,184402,1763
2019,188582,525,186295,1762
2020,189286,524,187006,1756
2021,191224,527,188943,1754
2022,195037,524,192722,1791
