연도,계,교장,교감,수석교사,보직교사,교사,전문상담교사,사서교사,실기교사,보건교사,영양교사,기간제교사
1965,79164,5068,4519,0,0,68902,0,0,0,631,0,44
1966,84927,5205,4776,0,0,72671,0,0,0,746,0,1529
1967,89277,5377,4883,0,0,76827,0,0,20,633,0,1537
1968,92530,5475,4964,0,0,78795,0,0,21,640,0,2635
1969,96358,5740,5210,0,0,82629,0,0,6,648,0,2125
1970,101095,5904,5659,0,0,87771,0,0,9,653,0,1099
1971,103756,6037,5748,0,8595,82074,0,0,6,617,0,679
1972,105672,6155,6024,0,8934,83511,0,0,6,630,0,412
1973,107259,6263,6083,0,14860,78834,0,0,5,715,0,499
1974,107436,6308,6146,0,18223,75415,0,0,3,761,0,580
1975,108126,6357,6210,0,18543,75629,0,0,2,793,0,592
1976,109530,6389,6252,0,26353,69168,0,0,0,830,0,538
1977,112997,6397,6257,0,26886,72093,0,0,0,909,0,455
1978,115245,6418,6273,0,27155,74191,0,0,0,937,0,271
1979,117290,6441,6312,0,27654,75714,0,0,0,938,0,231
1980,119064,6448,6353,0,27609,77371,0,0,0,1106,0,177
1981,122727,6512,6827,0,28003,79980,0,0,0,1302,0,103
1982,124572,6493,6996,0,27607,81930,0,0,0,1437,0,109
1983,126163,6490,7019,0,27726,83283,0,0,0,1522,0,123
1984,126233,6511,7046,0,27134,83697,0,0,0,1781,0,64
1985,126785,6512,7090,0,28009,83261,0,0,0,1846,0,67
1986,126677,6526,7122,0,28481,82612,0,0,0,1862,0,74
1987,130142,6522,7186,0,28751,85731,0,0,0,1905,0,47
1988,132527,6455,7154,0,29054,87830,0,0,0,1936,0,98
1989,134898,6386,7151,0,29357,89813,0,0,0,2007,0,184
1990,136800,6325,7134,0,29261,91693,0,0,0,2147,0,240
1991,138200,6239,7100,0,28618,93673,0,0,0,2323,0,247
1992,138880,6117,6991,0,27907,94808,0,0,0,2433,0,624
1993,139159,6052,6875,0,27497,95492,0,0,0,2564,0,679
1994,139096,5895,6652,0,26932,96500,0,0,0,2706,0,411
1995,138369,5767,6461,0,26580,96012,0,0,0,3154,0,395
1996,137912,5726,6413,0,26449,95114,0,0,0,3665,0,545
1997,138670,5713,6376,0,26931,95105,0,0,0,3840,0,705
1998,140121,5680,6358,0,27260,95953,0,0,0,3877,0,993
1999,137577,5506,5875,0,26198,95316,0,0,0,3802,0,880
2000,140000,5232,5468,0,28013,89056,0,0,0,3897,0,8334
2001,142715,5286,5570,0,29144,95189,0,0,0,3954,0,3572
2002,147497,5350,5785,0,30015,97715,0,0,0,4039,0,4593
2003,154075,5422,5938,0,31317,102509,0,0,0,4104,0,4785
2004,157407,5505,6025,0,31968,106611,8,47,9,4128,0,3106
2005,160143,5614,6120,0,32042,110184,1,57,0,4195,0,1930
2006,163645,5695,6219,0,32498,113383,0,121,0,4256,0,1473
2007,167182,5710,6152,0,32394,115230,4,169,0,4242,1275,2006
2008,172190,5761,6099,0,32205,117362,0,209,0,4241,3381,2932
2009,175068,5791,6050,0,31827,118680,0,214,0,4217,3416,4873
2010,176754,5818,6024,0,31746,120089,2,227,0,4247,3434,5167
2011,180623,5830,6008,0,31773,120667,3,227,0,4225,3447,8443
2012,181435,5855,6057,452,36679,116539,14,228,0,4219,3457,7917
2013,181585,5875,6057,630,36491,117696,9,228,0,4185,3464,6950
2014,182672,5897,6054,765,37116,118379,21,238,0,4174,3484,6544
2015,182658,5934,6063,739,37213,118335,39,243,0,4133,3508,6451
2016,183452,5962,6092,689,37499,119194,86,245,0,4126,3528,6031
2017,184358,5998,6138,661,38012,118895,121,251,0,4176,3530,6576
2018,186684,6023,6155,632,38398,119238,329,342,0,4343,3781,7443
2019,188582,6051,6209,614,38521,118848,494,412,0,4470,3939,9024
2020,189286,6084,6238,572,39328,118812,695,506,0,4562,4017,8472
2021,191224,6117,6264,534,39134,118952,1068,608,0,4814,4167,9566
2022,195037,6128,6263,515,39717,119184,1519,691,0,5047,4372,11601
