통화코드,적용시작일,매매기준율,미달러환산율,주화매입률,주화매도율,현찰매입률,현찰매도율,수표매입률,수표매도율,전신환매입률,전신환매도율,여행자수표매입률,여행자수표매도율
AED,2021-01-04,294.57,0.2722,147.29,441.85,279.85,309.29,0,0,291.92,297.22,0,0
ARS,2021-01-04,12.97,0.0119,12.85,13.09,12.72,13.22,12.81,13.13,12.85,13.09,12.85,13.09
ATS,2021-01-04,96.93,0.0889,48.47,145.39,95.48,98.38,95.73,98.13,96.06,97.8,95.97,97.89
AUD,2021-01-04,833.46,0.7703,416.73,1250.19,816.8,850.12,0,0,825.96,840.96,0,0
BDT,2021-01-04,12.86,0.0118,12.74,12.98,12.61,13.11,12.71,13.01,12.74,12.98,12.74,12.98
BEF,2021-01-04,33.06,0.0303,16.53,49.59,32.57,33.55,32.66,33.46,32.77,33.35,32.73,33.39
BHD,2021-01-04,2869.87,2.6524,1434.94,4304.8,2726.38,3013.36,0,0,2844.05,2895.69,0,0
BRL,2021-01-04,209.86,0.1925,207.77,211.95,205.67,214.05,207.26,212.46,207.77,211.95,207.77,211.95
CAD,2021-01-04,850.29,0.7859,425.15,1275.43,833.29,867.29,0,0,842.64,857.94,0,0
CHF,2021-01-04,1224.4,1.1316,612.2,1836.6,1206.04,1242.76,0,0,1213.39,1235.41,0,0
CLP,2021-01-04,1.54,0.0014,1.53,1.55,1.51,1.57,1.53,1.55,1.53,1.55,1.53,1.55
CNH,2021-01-04,167.62,0.1549,83.81,251.43,160.92,174.32,0,0,166.12,169.12,0,0
CNY,2021-01-04,167.01,0.1532,83.51,250.51,155.32,178.7,164.94,169.08,165.51,168.51,165.34,168.68
CZK,2021-01-04,50.82,0.0466,50.32,51.32,49.81,51.83,50.19,51.45,50.32,51.32,50.32,51.32
DEM,2021-01-04,681.98,0.6257,340.99,1022.97,671.76,692.2,673.53,690.43,675.85,688.11,675.17,688.79
DKK,2021-01-04,177.94,0.1645,88.97,266.91,174.39,181.49,0,0,176.34,179.54,0,0
ESP,2021-01-04,801.65,0.7355,400.83,1202.47,789.63,813.67,791.71,811.59,794.44,808.86,793.64,809.66
ETB,2021-01-04,27.7,0.0254,27.43,27.97,27.15,28.25,27.36,28.04,27.43,27.97,27.43,27.97
EUR,2021-01-04,1324.04,1.2237,662.02,1986.06,1304.18,1343.9,0,0,1312.13,1335.95,0,0
FIM,2021-01-04,224.33,0.2058,112.17,336.49,220.97,227.69,221.55,227.11,222.32,226.34,222.09,226.57
FRF,2021-01-04,203.34,0.1866,101.67,305.01,200.29,206.39,200.82,205.86,201.51,205.17,201.31,205.37
GBP,2021-01-04,1478.5,1.3665,739.25,2217.75,1456.33,1500.67,0,0,1465.2,1491.8,0,0
HKD,2021-01-04,139.56,0.129,69.78,209.34,137.47,141.65,0,0,138.31,140.81,0,0
HUF,2021-01-04,3.68,0.0034,3.65,3.71,3.61,3.75,3.64,3.72,3.65,3.71,3.65,3.71
IDR,2021-01-04,7.78,0.0072,0,0,0,0,0,0,7.71,7.85,0,0
INR,2021-01-04,14.91,0.0137,14.77,15.05,14.62,15.2,14.73,15.09,14.77,15.05,14.77,15.05
IRR,2021-01-04,0.03,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
ITL,2021-01-04,68.89,0.0632,34.45,103.33,67.86,69.92,68.04,69.74,68.27,69.51,68.21,69.57
JOD,2021-01-04,1538.03,1.411,1522.65,1553.41,1507.27,1568.79,1518.96,1557.1,1522.65,1553.41,1522.65,1553.41
