통화코드,적용시작일,매매기준율,미달러환산율,주화매입률,주화매도율,현찰매입률,현찰매도율,수표매입률,수표매도율,전신환매입률,전신환매도율,여행자수표매입률,여행자수표매도율
AED,2022-01-03,324.27,0.2723,162.14,486.4,308.06,340.48,0,0,321.36,327.18,0,0
ARS,2022-01-03,11.6,0.0097,11.49,11.71,11.37,11.83,11.46,11.74,11.49,11.71,11.49,11.71
ATS,2022-01-03,98.44,0.0827,49.22,147.66,96.97,99.91,97.22,99.66,97.56,99.32,97.46,99.42
AUD,2022-01-03,866.21,0.7273,433.11,1299.31,848.89,883.53,0,0,858.42,874,0,0
BDT,2022-01-03,13.89,0.0117,13.76,14.02,13.62,14.16,13.72,14.06,13.76,14.02,13.76,14.02
BEF,2022-01-03,33.58,0.0282,16.79,50.37,33.08,34.08,33.17,33.99,33.28,33.88,33.25,33.91
BHD,2022-01-03,3158.82,2.6522,1579.41,4738.23,3000.88,3316.76,0,0,3130.4,3187.24,0,0
BRL,2022-01-03,213.78,0.1795,211.65,215.91,209.51,218.05,211.13,216.43,211.65,215.91,211.65,215.91
CAD,2022-01-03,942.51,0.7914,471.26,1413.76,923.66,961.36,0,0,934.03,950.99,0,0
CHF,2022-01-03,1305.92,1.0965,652.96,1958.88,1286.34,1325.5,0,0,1294.17,1317.67,0,0
CLP,2022-01-03,1.4,0.0012,1.39,1.41,1.38,1.42,1.39,1.41,1.39,1.41,1.39,1.41
CNH,2022-01-03,187.23,0.1572,93.62,280.84,179.75,194.71,0,0,185.55,188.91,0,0
CNY,2022-01-03,187.38,0.1573,93.69,281.07,174.27,200.49,185.06,189.7,185.7,189.06,185.51,189.25
CZK,2022-01-03,54.45,0.0457,53.91,54.99,53.37,55.53,53.78,55.12,53.91,54.99,53.91,54.99
DEM,2022-01-03,692.59,0.5815,346.3,1038.88,682.21,702.97,684.01,701.17,686.36,698.82,685.67,699.51
DKK,2022-01-03,182.19,0.153,91.1,273.28,178.55,185.83,0,0,180.56,183.82,0,0
ESP,2022-01-03,814.12,0.6836,407.06,1221.18,801.91,826.33,804.03,824.21,806.8,821.44,805.98,822.26
ETB,2022-01-03,24.04,0.0202,23.8,24.28,23.56,24.52,23.75,24.33,23.8,24.28,23.8,24.28
EUR,2022-01-03,1354.58,1.1373,677.29,2031.87,1334.27,1374.89,0,0,1342.39,1366.77,0,0
FIM,2022-01-03,227.82,0.1913,113.91,341.73,224.41,231.23,225,230.64,225.77,229.87,225.55,230.09
FRF,2022-01-03,206.5,0.1734,103.25,309.75,203.41,209.59,203.94,209.06,204.65,208.35,204.44,208.56
GBP,2022-01-03,1611.13,1.3528,805.57,2416.69,1586.97,1635.29,0,0,1596.63,1625.63,0,0
HKD,2022-01-03,152.77,0.1283,76.39,229.15,150.48,155.06,0,0,151.4,154.14,0,0
HUF,2022-01-03,3.67,0.0031,3.64,3.7,3.6,3.74,3.63,3.71,3.64,3.7,3.64,3.7
IDR,2022-01-03,8.36,0.007,0,0,0,0,0,0,8.29,8.43,0,0
INR,2022-01-03,15.99,0.0134,15.84,16.14,15.68,16.3,15.8,16.18,15.84,16.14,15.84,16.14
IRR,2022-01-03,0.03,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
ITL,2022-01-03,69.96,0.0587,34.98,104.94,68.92,71,69.1,70.82,69.34,70.58,69.27,70.65
JOD,2022-01-03,1679.72,1.4103,1662.93,1696.51,1646.13,1713.31,1658.9,1700.54,1662.93,1696.51,1662.93,1696.51
JPY,2022-01-03,1034.35,0.8685,517.18,1551.52,1018.84,1049.86,0,0,1025.05,1043.65,0,0
KRW,2022-01-03,1,0.0008,1,1,1,1,1,1,1,1,1,1
KWD,2022-01-03,3937.06,3.3057,1968.53,5905.59,3740.21,4133.91,0,0,3901.63,3972.49,0,0
LKR,2022-01-03,5.88,0.0049,5.83,5.93,5.77,5.99,5.81,5.95,5.83,5.93,5.83,5.93
LYD,2022-01-03,259.16,0.2176,256.57,261.75,253.98,264.34,255.95,262.37,256.57,261.75,256.57,261.75
MMK,2022-01-03,0.67,0.0006,0.67,0.67,0.66,0.68,0.67,0.67,0.67,0.67,0.67,0.67
MXN,2022-01-03,58.12,0.0488,0,0,0,0,0,0,57.6,58.64,0,0
MYR,2022-01-03,285.89,0.24,0,0,0,0,0,0,283.32,288.46,0,0
NLG,2022-01-03,614.68,0.5161,307.34,922.02,605.46,623.9,607.06,622.3,609.15,620.21,608.54,620.82
NOK,2022-01-03,135.4,0.1137,67.7,203.1,132.7,138.1,0,0,134.19,136.61,0,0
NPR,2022-01-03,10.02,0.0084,9.92,10.12,9.82,10.22,9.9,10.14,9.92,10.12,9.92,10.12
NZD,2022-01-03,815.18,0.6845,407.59,1222.77,798.88,831.48,0,0,807.85,822.51,0,0
