통화코드,적용시작일,매매기준율,미달러환산율,주화매입률,주화매도율,현찰매입률,현찰매도율,수표매입률,수표매도율,전신환매입률,전신환매도율,여행자수표매입률,여행자수표매도율
AED,2020-01-02,314.44,0.2722,157.22,471.66,298.72,330.16,0,0,311.62,317.26,0,0
ARS,2020-01-02,19.3,0.0167,19.11,19.49,18.92,19.68,19.07,19.53,19.11,19.49,19.11,19.49
ATS,2020-01-02,94.18,0.0815,47.09,141.27,92.77,95.59,93.02,95.34,93.34,95.02,93.24,95.12
AUD,2020-01-02,810.41,0.7017,405.21,1215.61,794.21,826.61,0,0,803.12,817.7,0,0
BDT,2020-01-02,13.61,0.0118,13.48,13.74,13.34,13.88,13.45,13.77,13.48,13.74,13.48,13.74
BEF,2020-01-02,32.13,0.0278,16.07,48.19,31.65,32.61,31.74,32.52,31.85,32.41,31.81,32.45
BHD,2020-01-02,3063.58,2.6525,1531.79,4595.37,2910.41,3216.75,0,0,3036.01,3091.15,0,0
BRL,2020-01-02,287.35,0.2488,284.48,290.22,281.61,293.09,283.79,290.91,284.48,290.22,284.48,290.22
CAD,2020-01-02,890.04,0.7706,445.02,1335.06,872.24,907.84,0,0,882.03,898.05,0,0
CHF,2020-01-02,1194.42,1.0341,597.21,1791.63,1176.51,1212.33,0,0,1183.68,1205.16,0,0
CLP,2020-01-02,1.54,0.0013,1.53,1.55,1.51,1.57,1.53,1.55,1.53,1.55,1.53,1.55
CNH,2020-01-02,165.83,0.1436,82.92,248.74,159.2,172.46,0,0,164.34,167.32,0,0
CNY,2020-01-02,165.88,0.1436,82.94,248.82,154.27,177.49,163.83,167.93,164.39,167.37,164.23,167.53
CZK,2020-01-02,50.99,0.0441,50.49,51.49,49.98,52,50.36,51.62,50.49,51.49,50.49,51.49
DEM,2020-01-02,662.62,0.5737,331.31,993.93,652.69,672.55,654.41,670.83,656.66,668.58,656,669.24
DKK,2020-01-02,173.46,0.1502,86.73,260.19,170,176.92,0,0,171.9,175.02,0,0
ESP,2020-01-02,778.89,0.6744,389.45,1168.33,767.21,790.57,769.24,788.54,771.88,785.9,771.11,786.67
ETB,2020-01-02,36.12,0.0313,35.76,36.48,35.4,36.84,35.68,36.56,35.76,36.48,35.76,36.48
EUR,2020-01-02,1295.97,1.1221,647.99,1943.95,1276.54,1315.4,0,0,1284.31,1307.63,0,0
FIM,2020-01-02,217.97,0.1887,108.99,326.95,214.71,221.23,215.27,220.67,216.01,219.93,215.8,220.14
FRF,2020-01-02,197.57,0.1711,98.79,296.35,194.61,200.53,195.13,200.01,195.8,199.34,195.6,199.54
GBP,2020-01-02,1531.41,1.3259,765.71,2297.11,1508.44,1554.38,0,0,1517.63,1545.19,0,0
HKD,2020-01-02,148.22,0.1283,74.11,222.33,146,150.44,0,0,146.89,149.55,0,0
